Post date,Number of Views,Location,Company name,Job title,Category,Job type,Employment term,Required candidate level,Salary,Professional skills,Soft skills
21 April 2024,557,Yerevan,Adjarabet.am,Copywriter,Marketing/Advertising,Full time,Permanent,Mid level,,"['MS Word', 'MS Power Point', 'Task management', 'Information visualization', 'English', 'Russian language']","['Positive attitude', 'Flexible', 'Detail-oriented', 'Creative thinking']"
21 April 2024,831,Yerevan,gg,Support Specialist,Sales/service management,Full time,Permanent,,,['Customer Service skills'],"['Written communication skills', 'Problem solving', 'Decision making', 'Analytical skills', 'Teamwork', 'Communication']"
21 April 2024,572,Yerevan,LUGERA Armenia,Night-Shift Sales Representative,Sales/service management,Full time,Permanent,Mid level,,"['MS Office', 'English']","['Ability to work independently', 'Customer/service oriented', 'Fast learning ability', 'Cold sales']"
21 April 2024,431,Yerevan,SoftConstruct,B2C Skill Games Operations Team Lead/ VBET,Product/Project Management,Full time,Permanent,Senior,,['Product management'],['Leadership skills']
21 April 2024,409,Yerevan,Telcell,Վճարային գործառնությունների զարգացման մասնագետ,Sales/service management,Full time,Permanent,Mid level,,['Business communication'],"['Fast learning ability', 'Ability to develop and build relationships', 'Ability to keep deadlines']"
21 April 2024,500,Yerevan,Finance BI - business intelligence / Ֆայնենս ԲիԱյ,Ավագ Հաշվապահ,Accounting/Bookkeeping/Cash register,Full time,Permanent,Senior,,"['MS Excel', 'Accounting', 'AS-Accountant', 'Finance']",[]
21 April 2024,840,Yerevan,Fast Shift LLC,Call center manager,Administrative/office-work,Full time,Contract,Senior,,"['Staff management', 'Customer relationship management', 'Ability to resolve conflict situations']","['Ability to work independently', 'Negotiation  skills', 'Time management', 'Problem solving', 'Flexible']"
21 April 2024,480,Yerevan,Ին Թայմ Քոնսալթին,Հաշվետար,Accounting/Bookkeeping/Cash register,Full time,Permanent,Mid level,250000 AMD - 300000 AMD Net a month,"['MS Word', 'MS Excel']","['Time management', 'Detail-oriented']"
21 April 2024,362,Yerevan,Telcell,Lawyer,Legal,Full time,Permanent,Mid level,,"['MS Office', 'Practical Legal Skills', 'Knowledge of Russian and English languages']","['Sense of responsibility', 'Team player']"
21 April 2024,564,Arzni,Bacon Product LLC,Գլխավոր տնօրենի օգնական,Administrative/office-work,Full time,Permanent,Mid level,,['MS Office'],['Flexible']
05 April 2024,415,Yerevan,Garni Invest UCO,Հաշվապահ,Accounting/Bookkeeping/Cash register,Full time,Contract,Mid level,,['Banking legislation of RA'],[]
21 April 2024,493,Yerevan,Ador Factory,B2C վաճառքի մենեջեր,Sales/service management,Full time,Permanent,Mid level,,"['MS Word', 'MS Excel']","['Negotiation  skills', 'Conflict resolution skills', 'Customer/service oriented', 'Presentation skills']"
21 April 2024,779,Yerevan,AMIO BANK,Territorial director,Banking/credit,Full time,Permanent,C level,,['Banking'],"['Leadership skills', 'Negotiation  skills', 'Communication Skills']"
29 March 2024,716,Yerevan,Viva-MTS (MTS Armenia CJSC),Account Manager,Sales/service management,Full time,Permanent,Mid level,,['Sales/service experience'],"['Conflict resolution skills', 'Customer/service oriented', 'Flexible', 'Result-oriented']"
21 April 2024,694,Yerevan,Fast Shift LLC,Call Center Operator,Administrative/office-work,Full time,Contract,Junior,,['Telecommunication'],"['Positive attitude', 'Customer/service oriented']"
21 April 2024,681,Yerevan,SoftConstruct,Project Coordinator,Product/Project Management,Full time,Permanent,Mid level,,"['Project management', 'Logistics']","['Ability to work independently', 'Negotiation  skills']"
15 April 2024,321,Kajaran,TUMO Center for Creative Technologies,Learning Coach in Kajaran (part time),Education/training,Part time,Permanent,,,['Teaching/training experience'],['Coaching\xa0/mentorship']
09 April 2024,473,Yerevan,American University of Armenia Fund,Facilities Manager,Construction,Full time,Permanent,Senior,,['AutoCAD'],"['Positive attitude', 'Time management', 'Detail-oriented']"
21 April 2024,566,Yerevan,"""Stellar Hotels"" LLC",Ընդունարանի աշխատակից,Tourism/Hospitality/HoReCa,Full time,Permanent,Senior,,[],"['Negotiation  skills', 'Positive attitude', 'Problem solving', 'Sense of responsibility']"
21 April 2024,354,Yerevan,"""Stellar Hotels"" LLC",Խոհարար,Tourism/Hospitality/HoReCa,Full time,Permanent,Senior,,[],"['Design skills', 'Teamwork', 'Hardworking', 'Responsibility']"
21 April 2024,433,Yerevan,ECOS,Senior Legal Officer (Fintech / Crypto),Legal,Full time,Contract,Senior,,"['Civil law of RA', 'Employment & labour law of the RA', 'Foreign Investment Law of RA', 'Administrative Law', 'Foreign laws', 'KYC']","['Ability to work independently', 'Leadership skills', 'Negotiation  skills']"
21 April 2024,413,Yerevan,SoftConstruct,Golang Developer,Software development,Full time,Permanent,Mid level,,[],"['Teamwork', 'Research skills', 'Responsibility']"
21 April 2024,698,Yerevan,Picsart,"Web Software Engineer, Add Objects",Software development,Full time,Permanent,Mid level,,"['JavaScript Frameworks', 'JavaScript', 'React.js', 'Canvas']","['Time management', 'Coaching\xa0/mentorship', 'Teamwork', 'Continuous learning drive']"
21 April 2024,483,Yerevan,SoftConstruct,Junior IT Security Analyst / SOC Analyst,IT security/Networks,Full time,Permanent,Junior,,"['Computer Science', 'ISO', 'Cybersecurity']","['Problem solving', 'Communication']"
21 April 2024,503,Yerevan,V&B Style,Վաճառող-խորհրդատու,Sales/service management,Full time,Permanent,,130000 AMD - 150000 AMD Net a month,['1c Accounting Software'],['Ability to work independently']
21 April 2024,370,Yerevan,SoftConstruct,Information Security Specialist,IT security/Networks,Full time,Permanent,Mid level,,"['Information Technology Security', 'ISMS']","['Self confidence', 'Punctuality', 'Ability to keep deadlines']"
21 April 2024,414,Yerevan,ECOS,"Chief accountant (Fintech, cloud mining)",Accounting/Bookkeeping/Cash register,Full time,Permanent,,,"['ArmSoft accounting software', 'E-invoicing']","['Negotiation  skills', 'Problem solving', 'Analytical skills']"
21 April 2024,526,Yerevan,Globbing,Լոգիստիկայի մասնագետ,Procurement/Logistics/Courier,Full time,Permanent,Mid level,,"['MS Excel', 'Logistics', 'Logistics Management', 'Optimization of logistics processes', 'Google Workspace']","['Teamwork', 'Fast learning ability', 'Fast orientation', 'Responsibility']"
21 April 2024,354,Yerevan,SoftConstruct,Cyber Security Specialist,IT security/Networks,Full time,Permanent,Mid level,,['Cybersecurity'],[]
21 April 2024,506,Yerevan,Brand Leader,Պահեստապետի օգնական,Sales/service management,Full time,Permanent,Mid level,From 200000 AMD Net a month,['Data processing'],"['Ability to work independently', 'Personal branding', 'Written communication skills', 'Time management', 'Detail-oriented', 'Sense of responsibility', 'Responsibility']"
01 April 2024,472,Yerevan,Digitain,E-sports մարզիկ,Sports/Beauty,Full time,Contract,Junior,,['Basic knowledge about sport'],"['Quick learner', 'Responsibility', 'Team player']"
21 April 2024,684,Yerevan,Ayb School,Դասվարի օգնական,Education/training,Full time,Permanent,Junior,,[],['Teaching skills']
21 April 2024,359,Yerevan,ՄԱՊ ՓԲԸ,Հաշվապահ,Production,Full time,Permanent,Mid level,,['1c Accounting Software'],['Teamwork']
14 April 2024,786,Yerevan,Ayb School,Գրադարանի համակարգող,Education/training,Full time,Permanent,,,[],['Organizational skills']
04 April 2024,666,Yerevan,UNDP Armenia Office,Project Analyst (Coordinator) -  NPSA-9,Product/Project Management,Full time,Contract,Senior,,['Project management'],[]
21 April 2024,705,Yerevan,Nork Technology Center,Data analyst,Data Research/Analysis,Full time,Permanent,Mid level,200000 AMD - 250000 AMD Net a month,"['Python', 'SQL database development', 'SQL query generation', 'MS Excel', 'Analytics and research', 'MS Access']","['Positive attitude', 'Time management', 'Analytical skills', 'Teamwork']"
21 April 2024,554,Yerevan,"""Telecom Armenia"" OJSC",Հեռախոսային վաճառքի մասնագետ,Sales/service management,Full time,Permanent,Junior,,"['Sales/service experience', 'Sale and cooperation ability', 'Knowledge of effective sales and applied technologies']","['Ability to work independently', 'Negotiation  skills', 'Communication skills in different languages', 'Cooperation skills', 'Literacy']"
21 April 2024,1152,Yerevan,AR++,Project Manager ( intern ),Product/Project Management,Full time,Permanent,,,['Russian language'],"['Written communication skills', 'Problem solving', 'Creative thinking', 'Multitasking']"
19 April 2024,472,Yerevan,Concern-Energomash  CJSC,Լոգիստիկայի մասնագետ,Procurement/Logistics/Courier,Full time,Contract,Senior,,"['MS Word', 'MS Excel', 'MS Outlook']","['Leadership skills', 'Written communication skills', 'Time management', 'Teamwork', 'Fast learning ability', 'Fast orientation']"
21 April 2024,198,Talin,AREGAK UCO CJSC,Փոխարինող Վարկային մասնագետ Թալին մասնաճյուղում,Banking/credit,Full time,Temporary,,,[],"['Negotiation  skills', 'Time management', 'Detail-oriented']"
21 April 2024,499,Yerevan,GRATA INTERNATIONAL,Senior Lawyer / Head of Corporate Practice,Legal,Full time,Permanent,Senior,,"['Banking legislation of RA', 'Civil law of RA', 'Customs legislation of RA']","['Ability to work independently', 'Leadership skills', 'Negotiation  skills', 'Written communication skills', 'Problem solving', 'Detail-oriented']"
07 April 2024,320,Yerevan,AREGAK UCO CJSC,Վարկային մասնագետ Երևան մասնաճյուղում,Banking/credit,Full time,Permanent,,,[],"['Negotiation  skills', 'Time management', 'Detail-oriented']"
21 April 2024,440,Yerevan,AAB Construction,Աշխատավարձերի հաշվառման մասնագետ (Payroll),Accounting/Bookkeeping/Cash register,Full time,Permanent,Mid level,,"['ArmSoft accounting software', 'Employment & labour law of the RA', 'Financial analysis', 'MS Excel']","['Positive attitude', 'Problem solving', 'Flexible', 'Detail-oriented']"
10 April 2024,335,village Kotayk,SOS Children's Villages Armenia,«Կոտայք» ընտանիքների ամրապնդման սոցիալական ենտրոնի հոգեբանին փոխարինող,NGO/Nonprofit,Full time,Temporary,Mid level,,['Psychological consulting'],['Psychology']
21 April 2024,309,Yerevan,S.A.V. GROUP LLC,Medical representative (medical devices),Sales/service management,Full time,Contract,Mid level,,"['B2B sales', 'Business communication', 'Working with a large amount of information', 'Medical knowledge']","['Ability to work independently', 'Personal branding', 'Time management', 'Fast learning ability']"
31 March 2024,471,Yerevan,"""Ardshinbank"" CJSC",Նախագծերի ղեկավար,Banking/credit,Full time,Permanent,Senior,,['MS Office'],[]
31 March 2024,945,Yerevan,Actual Solutions LLC,React JS Front-end Developer,Software development,Full time,Contract,Mid level,,"['Git/Github', 'JavaScript', 'Redux', 'TypeScript', 'HTML/CSS', 'ES5 / ES6', 'React JS']",[]
20 April 2024,696,Yerevan,"""Telecom Armenia"" OJSC",Գանձապետական գործառնությունների մասնագետ,Finance Management,Full time,Permanent,Junior,,"['ArmSoft accounting software', 'Planning', 'Finance']","['Ability to work independently', 'Personal branding', 'Written communication skills', 'Flexible']"
11 April 2024,327,Abovyan,FINCA UCO CJSC,“Abovyan” Branch Credit Officer/Business Development Manager,Banking/credit,Full time,Permanent,Junior,,['Analytical thinking'],"['Negotiation  skills', 'Teamwork', 'Proactive', 'Collaborative']"
11 April 2024,259,Ashtarak,FINCA UCO CJSC,Գանձապահ «Աշտարակ» մասնաճյուղում,Accounting/Bookkeeping/Cash register,Full time,Permanent,Junior,,"['MS Office', 'AS banking']","['Positive attitude', 'Time management', 'Analytical skills']"
11 April 2024,311,Yerevan,FINCA UCO CJSC,Business Systems Specialist,Other IT,Full time,Permanent,Mid level,,[],['Attention to details']
20 April 2024,503,Yerevan,SoftConstruct,Business Development Manager,Sales/service management,Full time,Permanent,Mid level,,"['MS Office', 'B2B sales']","['Negotiation  skills', 'Time management', 'Conflict resolution skills', 'Customer/service oriented', 'Flexible', 'Goal-oriented', 'Teamwork', 'Fast orientation']"
11 April 2024,336,Yerevan,FINCA UCO CJSC,Վաճառքի թիմի մասնագետ,Banking/credit,Full time,Permanent,Junior,,"['Financial analysis', 'Customer Service skills']","['Negotiation  skills', 'Problem solving', 'Proactive', 'Team player']"
05 April 2024,456,Yerevan,IDBank CJSC,Կոմիսիոն բիզնեսի բաժնի անհատական մենեջեր,Banking/credit,Full time,Permanent,,,['Sales/service experience'],['Loyalty']
11 April 2024,280,Yerevan,FINCA UCO CJSC,"Reporting, Budgeting and Financial Analysis Department Leading Specialist",Banking/credit,Full time,Permanent,Mid level,,"['Analytical and Mathematical skills', 'MS Excel']","['Positive attitude', 'Time management', 'Detail-oriented']"
11 April 2024,245,Ashtarak,FINCA UCO CJSC,“Ashtarak” Branch Credit Officer/Business Development Manager,Banking/credit,Full time,Permanent,Junior,,['Analytical and Mathematical skills'],['Communicability']
11 April 2024,181,Masis,FINCA UCO CJSC,Գանձապահ «Մասիս» մասնաճյուղում,Banking/credit,Full time,Temporary,Junior,,"['MS Excel', 'AS banking']","['Positive attitude', 'Problem solving', 'Customer/service oriented', 'Detail-oriented']"
05 April 2024,448,Yerevan,IDBank CJSC,Վարկերի մոնիթորինգի բաժնի մասնագետ,Banking/credit,Full time,Permanent,,,['MS Excel'],"['Analytical skills', 'Logical thinking']"
11 April 2024,198,Talin,FINCA UCO CJSC,“Talin” Branch Credit Officer/Business Development Manager,Banking/credit,Full time,Permanent,Junior,,['Analytical and Mathematical skills'],['Communicability']
11 April 2024,252,Armavir,FINCA UCO CJSC,“Armavir” Branch Credit Officer/Business Development Manager,Banking/credit,Full time,Permanent,Junior,,['Analytical and Mathematical skills'],['Communicability']
11 April 2024,211,Ararat,FINCA UCO CJSC,Փորձնակ «Արարատ» մասնաճյուղում,Banking/credit,Full time,Permanent,Junior,,['Analytical and Mathematical skills'],['Communicability']
20 April 2024,413,Yerevan,FastBank CJSC,Senior Automation QA Engineer,Banking/credit,Full time,Permanent,Senior,,['English'],"['Time management', 'Problem solving']"
20 April 2024,427,Yerevan,Galaxy Group of Companies,Internal Auditor,Audit/Compliance,Full time,Permanent,,,"['Risk management', 'Detail oriented', 'Audit']","['Analytical skills', 'Fast orientation', 'Multitasking', 'Attention to details', 'Ability to keep deadlines']"
11 April 2024,168,Meghri,FINCA UCO CJSC,"""Մեղրի"" մասնաճյուղում Գանձապահ/Վարկային Մասնագետ / Բիզնեսի զարգացման մենեջեր",Business/Management,Full time,Permanent,Junior,,['Analytical thinking'],"['Negotiation  skills', 'Teamwork', 'Proactive', 'Collaborative']"
08 April 2024,680,Yerevan,Ameriabank CJSC,PR Specialist,Communications/Journalism/PR,Full time,Permanent,Mid level,,[],"['Team player', 'Communication Skills']"
05 April 2024,381,Yerevan,IDBank CJSC,Արտոնյալ բանկային ծառայությունների բաժնի Անհատական մենեջեր,Banking/credit,Full time,Permanent,,,['LSoft'],"['Time management', 'Goal-oriented', 'Fast orientation']"
20 April 2024,389,Yerevan,VTB Bank (Armenia),Իրավաբանական անձանց վարկային հայտերի փորձաքննության բաժնի գլխավոր մասնագետ,Banking/credit,Full time,Permanent,Senior,,[],"['Flexible', 'Decision making', 'Teamwork', 'Sense of responsibility']"
20 April 2024,581,Yerevan,Atenk Ltd,Ներմուծման մասնագետ,Procurement/Logistics/Courier,Full time,Permanent,Senior,,['Business management'],['Negotiation  skills']
05 April 2024,529,Yerevan,Maurice Ward Armenia,Rates-Pricing Assistant for Belgium Office,Procurement/Logistics/Courier,Full time,Permanent,Junior,From 200000 AMD Net a month,"['MS Windows, MS Office', 'Advanced English knowledge']","['Negotiation  skills', 'Attention to details', 'Team player']"
20 April 2024,1041,Yerevan,ProMotion LLC,Administrative Assistant,Administrative/office-work,Full time,Permanent,,100000 AMD - 120000 AMD Net a month,['Ability to resolve conflict situations'],['Communication Skills']
20 April 2024,413,Yerevan,Փռայմ Մոթորս ՍՊԸ,Ավտոպահեստամասերի մասնագետ,Administrative/office-work,Full time,Permanent,Mid level,,['PC'],['Teamwork']
20 April 2024,734,Yerevan,"WebWork Time Tracker, Inc.",Customer Support Specialist,Sales/service management,Full time,Permanent,Junior,,['English'],"['Time management', 'Problem solving', 'Conflict resolution skills', 'Customer/service oriented', 'Teamwork']"
13 April 2024,596,Yerevan,AMX,Client Relations Development Specialist,Finance Management,Full time,Permanent,Senior,,"['Swift', 'Security markets', 'Technical Writing']","['Negotiation  skills', 'Analytical skills', 'Teamwork', 'Multitasking']"
20 April 2024,527,Kapan,Teach For Armenia,Առաջնորդության զարգացման ղեկավար Սյունիքում,Education/training,Full time,Permanent,Mid level,,[],"['Leadership skills', 'Problem solving', 'Coaching\xa0/mentorship', 'Analytical skills', 'Teamwork']"
05 April 2024,771,Yerevan,IDBank CJSC,Դատական և սնանկության վարույթների բաժնի ուսնակ,Legal,Full time,Temporary,Student,,['MS Excel'],['Teamwork']
20 April 2024,765,Yerevan,DataArt Armenia,"UI/UX Designer, Online Gaming Platform",UI/UX/Graphic Design,Full time,Permanent,Mid level,,['UI/UX'],['Teamwork']
20 April 2024,1115,Yerevan,DataArt Armenia,"FrontEnd React Developer, Smart Platform",Software development,Full time,Permanent,Senior,,['Front-End'],['Teamwork']
20 April 2024,443,Yerevan,DataArt Armenia,"Full-Stack Team Lead, Travel Services",Software development,Full time,Permanent,Senior,,"['React.js', 'Next.js']",['Teamwork']
20 April 2024,482,Yerevan,SoftConstruct,CRM Communication Specialist VBET,Communications/Journalism/PR,Full time,Permanent,Junior,,"['Marketing communications', 'Detail oriented']","['Fast learning ability', 'Attention to details']"
17 April 2024,462,Yerevan,CARDINAL,Market Development Officer,Sales/service management,Full time,Permanent,Senior,230000 AMD - 450000 AMD Net a month,['Sales'],['Communication Skills']
20 April 2024,372,Yerevan,Align Technology,Senior Software development engineer in Test,Quality Assurance /Control,Full time,Permanent,Senior,,"['Python', 'QA', 'C++']",[]
20 April 2024,405,Yerevan,Պռոշյանի Կոնյակի գործարան ՍՊԸ,1C ERP  մասնագետ,Software development,Other,Permanent,Mid level,,[],['Ability to work independently']
20 April 2024,1134,Yerevan,''Armenia'' International Airports'' CJSC,Responsible of environment,Administrative/office-work,Full time,Permanent,Senior,,['Environmental law'],"['Artistic skills', 'Positive attitude', 'Time management', 'Ability to work under pressure']"
20 April 2024,467,Yerevan,"""Stellar Hotels"" LLC",ԳԼԽԱՎՈՐ ՀԱՇՎԱՊԱՀ / ՀԱՇՎԱՊԱՀԱԿԱՆ ԲԱԺՆԻ ԱՇԽԱՏԱՆՔՆԵՐԻ ՀԱՄԱԿԱՐԳՈՂ,Accounting/Bookkeeping/Cash register,Full time,Permanent,Senior,,['Financial analysis'],['Tax report']
20 April 2024,420,Yerevan,"""Stellar Hotels"" LLC",ԳԼԽԱՎՈՐ ՀԱՇՎԱՊԱՀ,Accounting/Bookkeeping/Cash register,Full time,Permanent,Senior,,['Financial analysis'],['Tax report']
20 April 2024,450,Yerevan,Sceyt,iOS Developer,Software development,Full time,Permanent,Mid level,,"['Objective C', 'OOP', 'Swift']",[]
20 April 2024,446,Yerevan,DataArt Armenia,"iOS Developer, Smart Platform",Software development,Full time,Permanent,Senior,,['iOS'],['Teamwork']
20 April 2024,451,Yerevan,Mellat bank,ARMSOFT System Administrator,IT Support/Technician,Full time,Permanent,Mid level,,['AS banking'],"['Teamwork', 'Self-motivation', 'Responsibility']"
19 April 2024,391,Yerevan,SoftConstruct,Business Development Executive,Sales/service management,Full time,Permanent,Mid level,,"['MS Office', 'B2B sales']","['Negotiation  skills', 'Time management', 'Conflict resolution skills', 'Customer/service oriented', 'Flexible', 'Goal-oriented', 'Teamwork', 'Fast orientation']"
31 March 2024,1384,Yerevan,Coca-Cola Hellenic Bottling Company Armenia,Անվտանգության համակարգերի և գործառնությունների պատասխանատու,Security,Full time,Permanent,Mid level,,['MS Office'],"['Flexible', 'Detail-oriented', 'Communication']"
31 March 2024,531,Yerevan,SoftConstruct,"Customer Support Agent -Armenian,Russian and English Languages",Sales/service management,Full time,Permanent,Junior,,['MS Office'],"['Written communication skills', 'Time management', 'Problem solving', 'Customer/service oriented', 'Adaptability', 'Flexible', 'Detail-oriented', 'Goal-oriented']"
31 March 2024,334,Yerevan,SoftConstruct,Customer Support Agent - Spanish and English Languages,Sales/service management,Full time,Permanent,Junior,,['MS Office'],"['Negotiation  skills', 'Written communication skills', 'Positive attitude', 'Ability to work under pressure', 'Result-oriented']"
20 April 2024,639,Yerevan,Theopharma,Դեղատնային ցանցի տարածքային մենեջեր,Healthcare/Pharmaceutical,Full time,Permanent,Mid level,300000 AMD - 400000 AMD Gross a month,"['MS Excel', 'MS Outlook', '1C', 'MS Office']","['Leadership skills', 'Time management', 'Strategic thinking', 'Work under pressure', 'Hard-working', 'Communication']"
28 March 2024,607,Yerevan,La Galleria Luxury Boutiques,Assistant to Supervisor,Retail business,Full time,Permanent,Junior,,['Business relationship building'],['Positive attitude']
11 April 2024,395,Yerevan,FINCA UCO CJSC,Project Manager,Product/Project Management,Full time,Permanent,Mid level,,"['Scrum', 'Agile project management']",[]
20 April 2024,336,Yerevan,Lumina Law LLC,Legal Settlement Manager,Legal,Full time,Permanent,,200000 AMD - 450000 AMD Net a month,['Legal analysis'],"['Written communication skills', 'Time management', 'Adaptability']"
10 April 2024,543,Yerevan,SOS Children's Villages Armenia,"""Երևան"" մասնաճյուղի սոցիալական աշխատող",NGO/Nonprofit,Full time,Temporary,Senior,,['Data processing'],['Teamwork']
11 April 2024,356,Vardenis,FINCA UCO CJSC,“Vardenis” Branch Business Development Manager,Banking/credit,Full time,Permanent,Junior,,['Analytical and Mathematical skills'],['Communicability']
20 April 2024,476,Yerevan,iBooben Development,Affiliate manager,Marketing/Advertising,Full time,Permanent,Mid level,,"['Digital marketing', 'Marketing research', 'Marketing Analysis']","['Positive attitude', 'Creative thinking', 'Proactive', 'Sense of responsibility']"
20 April 2024,443,Abovyan,Agrotech LLC,Procurement and Logistics department Specialist,Procurement/Logistics/Courier,Full time,Permanent,Mid level,,"['MS Excel', 'MS Outlook', 'MS Windows, MS Office']","['Written communication skills', 'Teamwork', 'Fast learning ability', 'Multitasking']"
20 April 2024,490,Yerevan,SPORTMASTER,Кассир,Retail business,Full time,Other,Mid level,From 170000 AMD Gross a month,[],"['Negotiation  skills', 'Conflict resolution skills', 'Customer/service oriented', 'Presentation skills', 'Managing a quality service']"
20 April 2024,574,Yerevan,Smart Corner,Project Manager,Product/Project Management,Full time,Permanent,Mid level,,['Advanced English knowledge'],[]
20 April 2024,355,Yerevan,Smart Corner,Senior Full Stack React/PHP developer,Software development,Full time,Contract,Senior,,"['PHP', 'React.js', 'Laravel']",[]
