Post date,Number of Views,Location,Company name,Job title,Category,Job type,Employment term,Required candidate level,Salary,Professional skills,Soft skills
01 May 2024,118,Yerevan,Dial Tel LLC,-SMS Network Operations Center Engineer-,IT Support/Technician,Full time,Permanent,Mid level,,[],"['Problem solving', 'Ability to work under pressure', 'Multitasking']"
14 April 2024,117,Yerevan,FastBank CJSC,Ոսկերիչ գնահատողի օգնական՝ «Սեբաստիա» մասնաճյուղում՝ 18։00-01։00 աշխատաժամանակով,Banking/credit,Full time,Permanent,,,[],"['Flexible', 'Detail-oriented']"
01 May 2024,142,Yerevan,Decora Group,Accountant,Accounting/Bookkeeping/Cash register,Full time,Permanent,Senior,,"['1c Accounting Software', 'Financial analysis', 'Financial statement preparation']","['Time management', 'Flexible', 'Detail-oriented', 'Analytical skills', 'Responsibility']"
01 May 2024,152,Yerevan,#XAXALOVE,B2B Sales Manager,Sales/service management,Full time,Permanent,Senior,,"['Sales/service experience', 'Sales']","['Time management', 'Flexible', 'Sense of responsibility', 'Punctuality']"
15 April 2024,349,Yerevan,CIVITTA AM,Interviewer,Data Research/Analysis,Part time,Contract,,,['Interviewing techniques'],"['Stress management', 'Communication', 'Communicability']"
01 May 2024,282,Yerevan,TUMO Center for Creative Technologies,42 Yerevan - Technical and Pedagogical Coordinator,Education/training,Full time,Permanent,Mid level,,"['LaTex', 'JavaScript', 'C/C++']","['Leadership skills', 'Communication Skills']"
01 May 2024,159,Yerevan,Bella Casa,Ֆինանսական բաժնի  հաշվետար- օպերատոր,Accounting/Bookkeeping/Cash register,Full time,Permanent,Mid level,,"['1c Accounting Software', 'MS Excel', '1C']","['Positive attitude', 'Time management', 'Detail-oriented', 'Logical thinking', 'Teamwork']"
01 May 2024,212,Yerevan,ENERGYWISE,Վաճառքի Մենեջեր,Sales/service management,Full time,Permanent,,200000 AMD - 800000 AMD Net a month,[],"['Negotiation  skills', 'Time management', 'Customer/service oriented', 'Flexible', 'Teamwork', 'Hardworking', 'Constant drive for self-development']"
01 May 2024,241,Yerevan,Swaps.app,Lead Software Engineer,Software development,Full time,Contract,Senior,,"['JavaScript Frameworks', 'React.js', 'PostgreSQL', 'DBNode.js', 'CSS', 'HTML', 'Nest.js', 'REST API']",['Leadership skills']
14 April 2024,91,Abovyan,FastBank CJSC,Ոսկերիչ գնահատողի օգնական՝ «Մարտունի» մասնաճյուղում,Banking/credit,Full time,Permanent,,,[],"['Flexible', 'Detail-oriented']"
01 May 2024,158,Yerevan,Ameriabank CJSC,Inbound Communication Team Specialist (Contact Center),Sales/service management,Full time,Permanent,Mid level,,"['MS Office', 'English', 'Russian language', 'Armenian']","['Negotiation  skills', 'Written communication skills', 'Customer/service oriented']"
01 May 2024,141,Yerevan,Ameriabank CJSC,"Outbound team (Sales team) specialist, Contact Center",Sales/service management,Full time,Permanent,Mid level,,"['MS Office', 'English', 'Armenian']","['Problem solving', 'Conflict resolution skills', 'Decision making']"
01 May 2024,179,Yerevan,Ameriabank CJSC,"Client Manager, Yerevan branch network",Banking/credit,Full time,Permanent,Mid level,,"['Banking legislation of RA', 'MS Office', 'AS banking']","['Problem solving', 'Retail sales']"
01 May 2024,137,Yerevan,Ameriabank CJSC,"Teller, Yerevan branch network",Banking/credit,Full time,Permanent,Mid level,,"['MS Office', 'AS banking']",['Detail-oriented']
01 May 2024,175,Yerevan,ARMENIA WINE FACTORY LLC,Head of Marketing department,Marketing/Advertising,Full time,Permanent,Senior,,[],"['Leadership skills', 'Negotiation  skills', 'Presentation skills', 'Creative thinking', 'Ability to work under pressure', 'Agile approach']"
01 May 2024,139,Ararat,VTB Bank (Armenia),"Սրահի ադմինիստրատոր, ք. Արարատ",Banking/credit,Full time,Permanent,Mid level,,[],"['Conflict resolution skills', 'Customer/service oriented', 'Hardworking']"
10 April 2024,253,Vanadzor,Viva-MTS (MTS Armenia CJSC),Regional Basic Support Agent,Sales/service management,Full time,Temporary,Junior,,['ASP.NET MVC'],[]
09 April 2024,204,Yerevan,Viva-MTS (MTS Armenia CJSC),Basic Support Agent (On Shift),Sales/service management,Full time,Temporary,Junior,,['ASP.NET MVC'],[]
01 May 2024,144,Yerevan,CreedRoomz,Խաղավար,Entertainment,Full time,Permanent,Student,,[],"['Artistic skills', 'Positive attitude', 'Conflict resolution skills', 'Flexible']"
01 May 2024,154,Yerevan,CreedRoomz,Խաղավարի օգնական,Entertainment,Full time,Permanent,Junior,,[],"['Positive attitude', 'Adaptability', 'Teamwork']"
01 May 2024,142,Yerevan,CreedRoomz,Game Presenter,Entertainment,Full time,Civil contract,,,[],"['Artistic skills', 'Positive attitude', 'Conflict resolution skills', 'Flexible']"
01 May 2024,132,Yerevan,CreedRoomz,Senior Recruiter,Human Resources,Full time,Permanent,Senior,,"['Civil law of RA', 'Recruitment/talent acquisition', 'International humanitarian work experience']","['Ability to work independently', 'Leadership skills', 'Negotiation  skills', 'Written communication skills']"
14 April 2024,139,Abovyan,FastBank CJSC,Ոսկերիչ գնահատողի օգնական՝ «Աբովյան» մասնաճյուղում,Banking/credit,Full time,Permanent,,,[],"['Flexible', 'Detail-oriented']"
14 April 2024,145,Yerevan,FastBank CJSC,Խնդրահարույց ակտիվների վերկանգման մասնագետ,Banking/credit,Full time,Permanent,,,[],"['Time management', 'Problem solving', 'Conflict resolution skills', 'Customer/service oriented', 'Teamwork', 'Communication']"
01 May 2024,244,Yerevan,Vision Zoom Casino,Dealer,General/professional/Other services,Full time,Contract,Mid level,From 420000 AMD Net a month,[],['Analytical skills']
01 May 2024,341,Yerevan,MLN Pharm,Office manager,Administrative/office-work,Full time,Permanent,Mid level,,['Financial statement preparation'],"['Time management', 'Problem solving', 'Flexible', 'Teamwork', 'Fast learning ability', 'Multitasking', 'Attention to details']"
01 May 2024,284,Yerevan,EFES,Corporate sales manager,Sales/service management,Full time,Permanent,Mid level,,['Sales/service experience'],"['Leadership skills', 'Negotiation  skills', 'Customer/service oriented']"
01 May 2024,240,Yerevan,Move2Armenia Career,Cashier,Tourism/Hospitality/HoReCa,Full time,Civil contract,Junior,From 120000 AMD Net a month,['1C'],"['Positive attitude', 'Customer/service oriented', 'Sense of responsibility']"
01 May 2024,150,Yerevan,Հայաստանի Հաշվապահների Ասոցիացիա,Ղեկավար - հաշվապահ,Accounting/Bookkeeping/Cash register,Full time,Permanent,Senior,,"['1c Accounting Software', 'AS-Accountant']","['Personal branding', 'Negotiation  skills', 'Customer/service oriented', 'Flexible', 'Hardworking', 'Discipline']"
30 April 2024,206,Yerevan,Adjarabet.am,Customer Service  Specialist,Sales/service management,Full time,Permanent,Junior,160000 AMD - 160000 AMD Net a month,"['MS Windows, MS Office', 'English']","['Customer/service oriented', 'Attention to details']"
14 April 2024,161,Yerevan,Evocabank,Դատաիրավական բաժնի ղեկավար,Legal,Full time,Permanent,,,"['RA Law ""On legal acts""']",[]
30 April 2024,187,Yerevan,Evocabank,Teller,Sales/service management,Full time,Permanent,Junior,,[],"['Time management', 'Problem solving', 'Teamwork']"
14 April 2024,141,Yerevan,Evocabank,Credit Monitoring Specialist,Banking/credit,Full time,Permanent,,,['Knowledge of Russian and English languages'],[]
14 April 2024,120,Yerevan,Evocabank,Teller (evening shift),Banking/credit,Full time,Permanent,,,['Knowledge of Russian and English languages'],[]
14 April 2024,132,Yerevan,Evocabank,Technical Monitoring Specialist,Other IT,Full time,Permanent,,,[],['Teamwork']
14 April 2024,172,Yerevan,Evocabank,Product Owner,Banking/credit,Full time,Permanent,,,['Knowledge of Russian and English languages'],[]
10 April 2024,200,Yerevan,FastBank CJSC,Շինարարության պատասխանատուի օգնական,Construction,Full time,Contract,,,['Construction work management'],"['Ability to work independently', 'Time management', 'Problem solving', 'Flexible', 'Teamwork']"
14 April 2024,120,Yerevan,Evocabank,Investment Operation Specialist,Banking/credit,Full time,Permanent,,,['CFA'],[]
01 May 2024,220,Yerevan,PANDA GROUP,Shipper,Business/Management,Full time,Permanent,,220000 AMD - 350000 AMD Net a month,['Business relationship building'],"['Leadership skills', 'Negotiation  skills', 'Time management', 'Problem solving', 'Conflict resolution skills', 'Flexible', 'Presentation skills', 'Punctuality', 'Personal discipline']"
14 April 2024,141,Yerevan,Evocabank,Customer Attraction Chief Specialist,Banking/credit,Full time,Permanent,Senior,,['English'],[]
25 April 2024,426,Yerevan,DBD Digital Business Development LLC,UI/UX Junior Designer,UI/UX/Graphic Design,Full time,Internship,Junior,,"['HTML/CSS', 'UI/UX']",[]
25 April 2024,275,Yerevan,DBD Digital Business Development LLC,Junior Kotlin Developer,Software development,Full time,Internship,Junior,,['Kotlin'],[]
01 May 2024,112,Yerevan,ՅՈՒՆԻԲԱՆԿ ԲԲԸ,"Ոսկերիչ /Երևանի Եղեգնաձորի, Տաշիրի Աշտարակի մասնաճյուղեր/",Banking/credit,Full time,Permanent,,,"['MS Office', 'LSBank']",['Sense of responsibility']
30 April 2024,147,Yerevan,SoftConstruct,Customer Support Agent -Turkish and English Languages,Sales/service management,Full time,Permanent,Junior,,['MS Office'],"['Written communication skills', 'Time management', 'Problem solving', 'Customer/service oriented', 'Adaptability', 'Flexible', 'Goal-oriented', 'Teamwork', 'Responsibility']"
01 May 2024,137,Yerevan,ՅՈՒՆԻԲԱՆԿ ԲԲԸ,"Սպառողական վարկավորման գծով գործակալ /Երևան, Արարատ, Չարենցավան, Սիսիան/",Banking/credit,Full time,Contract,,,['Data processing'],['Customer/service oriented']
01 May 2024,172,Yerevan,ՅՈՒՆԻԲԱՆԿ ԲԲԸ,"Գանձապահ-մենեջեր սկսնակ /ք. Երևան, Գոգավան/",Banking/credit,Full time,Permanent,Junior,,['Banking legislation of RA'],"['Goal-oriented', 'Teamwork', 'Fast learning ability', 'Hardworking']"
30 April 2024,186,Yerevan,SoftConstruct,"Customer Support Agent -Armenian,Russian and English Languages",Sales/service management,Full time,Permanent,Junior,,['MS Office'],"['Written communication skills', 'Time management', 'Problem solving', 'Customer/service oriented', 'Adaptability', 'Flexible', 'Detail-oriented', 'Goal-oriented']"
10 April 2024,141,Yerevan,FastBank CJSC,Կառավարիչ՝ Վեդի մասնաճյուղ,Banking/credit,Full time,Permanent,,,['English'],['Leadership skills']
01 May 2024,180,Yerevan,Digitain,"Quality, Training and Communications specialist",Education/training,Full time,Permanent,,,['MS Office'],"['Coaching\xa0/mentorship', 'Presentation skills', 'Teamwork', 'Managing a quality service', 'Communication']"
01 May 2024,279,Yerevan,EveryMatrix,Account Manager,Product/Project Management,Full time,Permanent,Mid level,,"['Project management', 'Customer Service skills']","['Creative thinking', 'Multitasking', 'Communication']"
01 May 2024,153,Yerevan,BD RETAIL GROUP,Հաշվապահ,Accounting/Bookkeeping/Cash register,Full time,Permanent,Senior,,"['1c Accounting Software', '1C:Enterprise 8.3']","['Logical thinking', 'Teamwork']"
01 May 2024,177,Yerevan,ARMECONOMBANK OJSC,Ներքին դիտարկումների բաժնի աշխատակից,Banking/credit,Full time,Permanent,Junior,,['Banking legislation of RA'],"['Positive attitude', 'Flexible', 'Detail-oriented', 'Analytical skills']"
30 April 2024,232,Yerevan,Ameriabank CJSC,Product Operations Specialist,Product/Project Management,Full time,Permanent,Mid level,,[],['Communication']
01 May 2024,163,Yerevan,Digitain,Service Desk Specialist,Sales/service management,Full time,Permanent,Junior,,['Sales/service experience'],"['Multitasking', 'Continuous learning drive']"
30 April 2024,177,Yerevan,Dargett,Head of Marketing Department,Marketing/Advertising,Full time,Permanent,Senior,,"['Business management', 'Digital marketing']","['Leadership skills', 'Negotiation  skills', 'Time management', 'Problem solving', 'Analytical skills']"
01 May 2024,191,Yerevan,Dargett,Marketing Specialist,Marketing/Advertising,Full time,Contract,,,"['Digital marketing', 'Photography']","['Positive attitude', 'Time management', 'Public speaking', 'Creativity']"
30 April 2024,207,Yerevan,Ameriabank CJSC,Database Developer,Data Science/Data Engineering,Full time,Permanent,Mid level,,['MSSQL'],[]
15 April 2024,149,Bagratashen,Viva-MTS (MTS Armenia CJSC),Mobile Sales and Service Specialist in Shirak region,Sales/service management,Full time,Permanent,,,['Sales/service experience'],"['Negotiation  skills', 'Time management', 'Conflict resolution skills']"
01 May 2024,166,Yerevan,Digitain,Business Process Specialist,Business/Management,Full time,Permanent,Mid level,,"['MS Office', 'English', 'Process management', 'ISO 27001 Standard']","['Presentation skills', 'Ability to work under pressure', 'Team player', 'Ability to keep deadlines']"
01 May 2024,144,Yerevan,Պրեմիեր Ֆուդս ՍՊԸ,Կրեդիտային վերահսկման մասնագետ,Banking/credit,Full time,Permanent,,,"['Credit Operations', '1C', 'MS Office', 'Report generation']","['Time management', 'Communication Skills', 'Planning and Organizing']"
01 May 2024,315,Yerevan,Globbing,Customer Advisor,Sales/service management,Full time,Permanent,Mid level,,"['Computer knowledge', 'MS Excel', 'MS Windows, MS Office']","['Positive attitude', 'Problem solving', 'Conflict resolution skills', 'Customer/service oriented']"
01 May 2024,224,Yerevan,BD RETAIL GROUP,Marketing and online sales department specialist,Sales/service management,Full time,Permanent,Senior,,"['1C', 'Sales', 'Knowledge of Russian and English languages']",[]
12 April 2024,278,Yerevan,IDBank CJSC,Կորպորատիվ հաճախորդների հեռահար սպասարկման բաժնի առաջատար մասնագետ,Banking/credit,Full time,Permanent,Mid level,,"['CRM', 'LSoft']","['Customer/service oriented', 'Teamwork', 'Fast learning ability']"
19 April 2024,223,Yerevan,IDBank CJSC,Small and Medium Business Chief Manager,Banking/credit,Full time,Permanent,Senior,,['LSoft'],"['Negotiation  skills', 'Teamwork', 'B2C продажи']"
30 April 2024,659,Yerevan                                            (Remote),ARMENIANS UNIFIED,Social Media Specialist,Marketing/Advertising,Full time,Permanent,,1500 USD - 1500 USD Gross a month,['Social Media Marketing'],['Product Marketing']
30 April 2024,1327,Yerevan                                            (Remote),ARMENIANS UNIFIED,Administrative Assistant,Administrative/office-work,Full time,Permanent,,1500 USD - 1500 USD Net a month,['Administrative support'],['Customer Service']
29 April 2024,507,Yerevan,Հայաստանի Հաշվապահների Ասոցիացիա,Հաշվետար,Accounting/Bookkeeping/Cash register,Full time,Permanent,Junior,,"['Accounting', 'MS Office']","['Personal branding', 'Customer/service oriented', 'Detail-oriented', 'Teamwork']"
29 April 2024,466,Yerevan,Ithire,Senior PHP/Laravel Developer,Software development,Full time,Permanent,Senior,,"['PHP', 'MySQL', 'Next.js', 'Laravel']","['Teamwork', 'Fast learning ability', 'Fast orientation', 'Strategic thinking']"
29 April 2024,346,Yerevan,"""Mehrabyan  and Sons"" LLC",Trade Marketing Manager,Production,Full time,Permanent,Senior,,[],"['Strategic thinking', 'Team management', 'Communication Skills']"
29 April 2024,278,Yerevan,"""Mehrabyan  and Sons"" LLC",B2B(KAM),Business/Management,Full time,Permanent,Mid level,,[],['Communication Skills']
29 April 2024,328,Yerevan,"""Mehrabyan  and Sons"" LLC",Mob App Team Coordinator,Other IT,Full time,Permanent,Mid level,,[],['Organizational skills']
29 April 2024,738,Yerevan                                            (Remote),ARMENIANS UNIFIED,Marketing Specialist,Marketing/Advertising,Full time,Permanent,,1500 USD - 1500 USD Net a month,[],"['Positive attitude', 'Creative thinking', 'Product Marketing']"
29 April 2024,454,Yerevan,Բլյումարտ ՍՊԸ,Հաշվետար-օպերատոր,Accounting/Bookkeeping/Cash register,Full time,Permanent,Mid level,,['1c Accounting Software'],['Problem solving']
29 April 2024,578,Sisian,PANDA GROUP,Development Manager,Business/Management,Full time,Permanent,,220000 AMD - 400000 AMD Net a month,['Business relationship building'],"['Leadership skills', 'Negotiation  skills', 'Time management', 'Problem solving', 'Conflict resolution skills', 'Flexible', 'Presentation skills', 'Punctuality', 'Personal discipline']"
29 April 2024,309,Yerevan,Ar & Ar Design Construction,ENGINEER,Art/Design/Architecture,Full time,Permanent,Senior,,['Construction supervision'],"['Personal branding', 'Negotiation  skills']"
28 April 2024,482,Yerevan,Concern-Energomash  CJSC,"Իրավաբան, գնումների համակարգող",Legal,Full time,Permanent,Senior,,"['Bitrix24 corporate portal', 'MS Word', 'MS Excel']","['Ability to work independently', 'Written communication skills', 'Positive attitude', 'Time management']"
28 April 2024,1018,Yerevan                                            (Remote),AffPapa,HR Manager - Remote,Administrative/office-work,Full time,Permanent,Mid level,200000 AMD - 250000 AMD Net a month,"['Personnel management', 'HR management', 'English', 'Administrative skills']",['Personal branding']
28 April 2024,1099,Yerevan,THE FACE ONLY,Administrator,Administrative/office-work,Full time,Permanent,Senior,,['C programming'],"['Leadership skills', 'Written communication skills', 'Positive attitude', 'Conflict resolution skills', 'Flexible', 'Detail-oriented', 'Ability to work under pressure', 'Sense of responsibility', 'Managing a quality service', 'Punctuality', 'Team management']"
14 April 2024,561,Yerevan,SoftConstruct,Հաշվապահ,Accounting/Bookkeeping/Cash register,Full time,Permanent,Mid level,,"['ArmSoft accounting software', 'Triosoft']",['Time management']
28 April 2024,462,Yerevan,ProDigi Digital Agency,SEO Specialist,Marketing/Advertising,Full time,Permanent,Mid level,,['SEO'],"['Written communication skills', 'Fast learning ability', 'Communication Skills']"
28 April 2024,715,Yerevan,SAS Group,Import Manager,Administrative/office-work,Full time,Permanent,Junior,,['1C'],['Hard-working']
28 April 2024,412,Yerevan,iBooben Development,Customer support specialist - (Mixed shift) Turkish,Sales/service management,Full time,Permanent,Junior,,[],"['Written communication skills', 'Positive attitude', 'Problem solving', 'Customer/service oriented', 'Fast orientation']"
28 April 2024,660,Sevan,Derjava,Առևտրային գործակալ  /Preseller,Sales/service management,Full time,Permanent,Mid level,,['Merchandising'],"['Leadership skills', 'Customer/service oriented', 'Presentation skills', 'Hardworking']"
28 April 2024,654,Yerevan,Henderson Armenia,Sales consultant,Sales/service management,Full time,Permanent,Junior,,[],"['Customer/service oriented', 'Adaptability', 'Flexible', 'Presentation skills', 'Teamwork', 'Multitasking']"
28 April 2024,494,Yerevan,FastBank CJSC,Գանձապահ՝ «Էրեբունի» մասնաճյուղում 11:00-20:00 աշխատաժամանակով,Banking/credit,Full time,Permanent,,,['English'],['Time management']
28 April 2024,558,Yerevan,Bella Casa,Վաճառքի մենեջեր՝ շինարարական կազմակերպությունների գծով,Sales/service management,Full time,Permanent,,,"['Construction work management', 'Sales']","['Negotiation  skills', 'Problem solving', 'Presentation skills', 'Result-oriented']"
28 April 2024,458,Yerevan,FastBank CJSC,Գանձապահ ՝ «Բաղրամյան»  մասնաճյուղում  13։00-22։00 աշխատաժամանակով,Banking/credit,Full time,Permanent,,,['English'],['Time management']
15 April 2024,568,Yerevan,Sartex CJSC,Financial Analyst,Finance Management,Full time,Permanent,Mid level,,"['ACCA', 'CFA']",[]
11 April 2024,741,Yerevan,UNDP Armenia Office,Monitoring and Reporting Associate - NPSA 7,Product/Project Management,Full time,Contract,Mid level,,"['Project management', 'Monitoring and evaluation']",[]
28 April 2024,608,Yerevan,MG Group,Manager of Household goods Department,Retail business,Full time,Permanent,Mid level,From 250000 AMD Net a month,['Retail sale'],"['Time management', 'Problem solving', 'Detail-oriented', 'Communication']"
28 April 2024,638,Yerevan,"""Telecom Armenia"" OJSC",B2B հաճախորդների համակարգող,Sales/service management,Full time,Permanent,Mid level,,"['Customer relationship management', 'B2B sales', 'Skills of expanding and maintaining the customer base']","['Ability to work independently', 'Personal branding', 'Customer/service oriented']"
28 April 2024,614,Yerevan,MBG Group LLC,Restaurant Manager,Tourism/Hospitality/HoReCa,Full time,Permanent,Junior,,"['Conflict management', 'Staff management', 'Computer knowledge', 'MS Office', 'English', 'Russian language']","['Time management', 'Flexible', 'Teamwork', 'Sense of responsibility', 'Communicability']"
21 April 2024,550,Yerevan,Պռոշյանի Կոնյակի գործարան ՍՊԸ,Արտաքին տնտեսական  կապերի գծով մասնագետ,Communications/Journalism/PR,Full time,Permanent,Mid level,,[],['Negotiation  skills']
28 April 2024,504,Yerevan,FastBank CJSC,Գիշերային հերթափոխով գանձապահ՝ «Հարավ-Արևմտյան» մասնաճյուղում,Banking/credit,Full time,Other,,,"['English', 'Armenian']",['Teamwork']
28 April 2024,703,Yerevan,«Հայաստանի հանրային հեռուստաընկերություն» ՓԲԸ,Outdoor Filming junior technician,Mechanical/Engineering,Full time,Contract,Junior,,['Testing Processes & Techniques'],"['Problem solving', 'Ability to work under pressure', 'Fast orientation', 'Attention to details']"
28 April 2024,456,Yerevan,Պրոմ-Տեստ ՍՊԸ,Բժշկական վաճառքի մենեջեր,Sales/service management,Full time,Contract,Senior,,['Sales'],['Negotiation  skills']
28 April 2024,827,Yerevan,Պրոմ-Տեստ ՍՊԸ,Ընդունարանի աշխատակից,Sales/service management,Full time,Contract,Mid level,,['Sales/service experience'],['Teamwork']
28 April 2024,527,Yerevan,Պրոմ-Տեստ ՍՊԸ,Հաշվետար (հաշվապահի օգնական),Accounting/Bookkeeping/Cash register,Full time,Contract,Mid level,,['1c Accounting Software'],['Teamwork']
20 April 2024,777,Yerevan,DBD Digital Business Development LLC,Flutter Internship Opportunity,Software development,Internship,Internship,,,"['UI/UX', 'Dart', 'Flutter']",[]
28 April 2024,369,Yerevan,SQUARE SIGNS ARMENIA,Senior SEO Specialist,Marketing/Advertising,Full time,Contract,Senior,,"['Digital marketing', 'Search engine optimization/marketing', 'SEO', 'Data analysis', 'Keyword Research', 'Google Suite']","['Time management', 'Detail-oriented', 'Creative thinking', 'Teamwork', 'Strategic thinking', 'Marketing analysis', 'Communication Skills']"
28 April 2024,293,Yerevan,Պրոմ-Տեստ ՍՊԸ,Էլեկտրիկ,Mechanical/Engineering,Full time,Contract,Senior,,['Electrical installation'],['Flexible']
28 April 2024,699,Yerevan,ProDigi Digital Agency,Graphic Designer,UI/UX/Graphic Design,Full time,Permanent,,,"['Adobe Illustrator', 'Adobe Photoshop', 'Graphic Design']","['Attention to details', 'Team player', 'Strong interpersonal skills']"
28 April 2024,453,Yerevan,ProDigi Digital Agency,Senior SMM Specialist,Marketing/Advertising,Full time,Permanent,Senior,,"['Content marketing', 'Social Media Marketing', 'Experience with social media advertising platforms']","['Leadership skills', 'Coaching\xa0/mentorship', 'Team player', 'Communication Skills']"
28 April 2024,849,Yerevan,KK Partners,Data Science Paid Internship,Data Research/Analysis,Full time,Internship,Mid level,,"['Machine learning algorithms', 'Python', 'SQL', 'Quantitative Research', 'Data Science']","['Problem solving', 'Analytical skills']"
28 April 2024,476,Yerevan,Ucom,Կորպորատիվ հաճախորդների ներգրավման համակարգող,Sales/service management,Full time,Permanent,Mid level,,['B2B sales'],[]
28 April 2024,484,Yerevan,Ֆրոզեն Միթ ՍՊԸ,Վաճառքի բաժնի առաքիչ,Sales/service management,Full time,Permanent,Mid level,,"['Sales/service experience', 'Sales', 'Sale and cooperation ability']","['Negotiation  skills', 'Positive attitude', 'Time management', 'Problem solving', 'Conflict resolution skills', 'Customer/service oriented', 'Flexible', 'Detail-oriented', 'Presentation skills', 'Goal-oriented', 'Logical thinking', 'Fast learning ability', 'Fast orientation']"
26 April 2024,596,Yerevan,gmcompany,Presseller,Sales/service management,Full time,Permanent,Senior,,['ArmSoft accounting software'],[]
28 April 2024,556,Yerevan,"""Telecom Armenia"" OJSC",Վաճառքի և սպասարկման կենտրոնի մասնագետ Երևան  քաղաքում,Sales/service management,Full time,Permanent,Junior,,"['Sales/service experience', 'Customer Service skills', 'Sale and cooperation ability']","['Ability to work independently', 'Personal branding', 'Negotiation  skills', 'Time management', 'Problem solving']"
28 April 2024,476,Yerevan,Retrieve Legal,Junior Accountant,Accounting/Bookkeeping/Cash register,Full time,Permanent,Junior,,['Accounting'],"['Written communication skills', 'Positive attitude', 'Time management', 'Problem solving', 'Detail-oriented', 'Analytical skills']"
